"STATION","NAME","DATE","TAVG","TOBS"
"USC00202437","EATON RAPIDS, MI US","2012-04-30",,"42"
"USC00202437","EATON RAPIDS, MI US","2012-05-01",,"49"
"USC00202437","EATON RAPIDS, MI US","2012-05-02",,"54"
"USC00202437","EATON RAPIDS, MI US","2012-05-03",,"69"
"USC00202437","EATON RAPIDS, MI US","2012-05-04",,"64"
"USC00202437","EATON RAPIDS, MI US","2012-05-07",,"52"
"USC00202437","EATON RAPIDS, MI US","2012-05-08",,"52"
"USC00202437","EATON RAPIDS, MI US","2012-05-09",,"52"
"USC00202437","EATON RAPIDS, MI US","2012-05-10",,"43"
"USC00202437","EATON RAPIDS, MI US","2012-05-14",,"58"
"USC00202437","EATON RAPIDS, MI US","2012-05-15",,"51"
"USC00202437","EATON RAPIDS, MI US","2012-05-16",,"50"
"USC00202437","EATON RAPIDS, MI US","2012-05-17",,"43"
"USC00202437","EATON RAPIDS, MI US","2012-05-18",,"53"
"USC00202437","EATON RAPIDS, MI US","2012-05-21",,"62"
"USC00202437","EATON RAPIDS, MI US","2012-05-22",,"51"
"USC00202437","EATON RAPIDS, MI US","2012-05-23",,"50"
"USC00202437","EATON RAPIDS, MI US","2012-05-24",,"62"
"USC00202437","EATON RAPIDS, MI US","2012-05-25",,"74"
"USC00202437","EATON RAPIDS, MI US","2012-05-29",,"70"
"USC00202437","EATON RAPIDS, MI US","2012-05-30",,"56"
"USC00202437","EATON RAPIDS, MI US","2012-05-31",,"48"
"USC00202437","EATON RAPIDS, MI US","2012-06-01",,"50"
"USC00202437","EATON RAPIDS, MI US","2012-06-02",,"50"
"USC00202437","EATON RAPIDS, MI US","2012-06-03",,"59"
"USC00202437","EATON RAPIDS, MI US","2012-06-04",,"58"
"USC00202437","EATON RAPIDS, MI US","2012-06-05",,"53"
"USC00202437","EATON RAPIDS, MI US","2012-06-06",,"52"
"USC00202437","EATON RAPIDS, MI US","2012-06-07",,"59"
